zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98148,10399,1168,4050,2012,49.68,0.95,9465,,86994,,54.62,23.86,7.22,751,277.0,7.78,28.24,22.28,17.24,1663,Spanish,1880,Vietnamese,240,Russian/Polish/Slavic,235,Other Asian/Pacific Island,222,Tagalog/Filipino,176,12.17,9.32,27.5,41.91,9.1,,,,,52.2,54.3,56.7,64.4,104.2,36.2,,ACS5 2019-2023
98155,35906,1139,13959,3944,28.25,0.69,33529,,131911,,50.58,19.85,5.19,1862,246.8,9.48,55.92,18.6,7.18,2446,Spanish,1743,Chinese (Mandarin/Cantonese),1051,Other Asian/Pacific Island,754,Tagalog/Filipino,555,Other Indo-European,554,12.84,4.6,8.0,65.52,9.04,,,,,49.0,47.0,50.9,51.2,52.9,68.0,,ACS5 2019-2023
98166,22001,1301,9068,3030,33.41,0.92,20078,,112191,,53.1,23.43,5.65,1243,215.2,8.56,45.49,13.24,7.35,1525,Spanish,1523,Other Indo-European,276,Vietnamese,253,Tagalog/Filipino,227,Other Asian/Pacific Island,214,7.79,1.87,11.57,69.06,9.71,,,,,51.2,53.2,57.3,65.3,103.4,40.3,,ACS5 2019-2023
98168,34814,1821,12503,5853,46.81,1.18,30959,,84937,,52.54,25.78,6.09,2119,242.0,6.41,23.99,33.2,22.46,7343,Spanish,5970,Vietnamese,2320,Other Asian/Pacific Island,1848,Other Indo-European,995,Tagalog/Filipino,550,21.2,11.24,25.54,36.67,5.35,,,,,45.2,47.3,48.8,56.7,96.7,24.1,,ACS5 2019-2023
98177,20506,1321,7990,1067,13.35,1.44,17773,,162607,,53.14,25.68,4.59,941,166.9,9.62,68.13,13.97,4.89,956,Chinese (Mandarin/Cantonese),629,Spanish,392,Korean,302,Other Indo-European,250,Other Asian/Pacific Island,178,9.8,2.07,3.81,77.06,7.26,,,,,47.1,44.9,53.9,56.3,56.6,68.5,renter_households,ACS5 2019-2023
98178,25929,2003,9462,3328,35.17,0.83,23877,,93786,,55.92,31.76,5.79,1501,306.3,6.87,36.27,30.78,18.51,4522,Vietnamese,2376,Chinese (Mandarin/Cantonese),1539,Other Asian/Pacific Island,1060,Tagalog/Filipino,889,Spanish,882,31.51,21.66,8.54,29.17,9.12,,,,,45.8,47.9,44.9,52.1,95.2,11.0,,ACS5 2019-2023
98188,26769,1587,11208,6545,58.4,0.94,24366,,76559,,51.25,19.66,4.83,1293,160.3,2.9,26.48,40.69,22.27,5673,Spanish,3852,Other Asian/Pacific Island,1478,Other Indo-European,666,Tagalog/Filipino,571,Vietnamese,380,14.91,26.44,21.42,27.81,9.41,,,,,52.8,54.9,54.1,61.2,103.8,26.9,,ACS5 2019-2023
98198,39815,1274,14494,6620,45.67,0.78,36825,,83938,,66.1,28.76,6.55,2606,337.3,4.81,31.49,29.33,18.48,6878,Spanish,7004,Other Indo-European,1228,Other Asian/Pacific Island,1074,Vietnamese,936,Russian/Polish/Slavic,709,12.73,12.35,23.76,41.48,9.67,,,,,61.1,63.3,64.3,71.6,113.1,46.1,,ACS5 2019-2023
98199,22751,1620,10065,3787,37.63,1.44,19719,,176729,,24.06,10.72,6.51,1480,349.5,10.23,76.9,14.22,2.49,530,Other Indo-European,1005,Chinese (Mandarin/Cantonese),689,Spanish,581,Other Asian/Pacific Island,282,French/Haitian/Cajun,150,11.77,1.93,5.82,72.97,7.5,,,,,26.0,22.7,49.5,55.7,72.1,57.7,,ACS5 2019-2023
98201,31212,1711,13651,7254,53.14,0.65,29243,,73822,,51.43,26.7,4.71,1471,78.4,3.83,29.21,10.43,6.17,1836,Spanish,1883,Russian/Polish/Slavic,527,Other Asian/Pacific Island,435,Other Indo-European,185,Vietnamese,163,3.43,2.1,12.43,71.25,10.78,,,,,90.6,88.7,87.8,83.3,36.4,106.8,,ACS5 2019-2023
98203,35356,1839,13791,4531,32.85,0.65,33126,,101505,,50.87,24.56,6.04,2137,180.7,8.5,34.0,20.96,11.73,3895,Spanish,4106,Vietnamese,1025,Russian/Polish/Slavic,949,Other Asian/Pacific Island,759,Tagalog/Filipino,547,11.1,8.13,15.58,57.22,7.97,,,,,81.0,79.0,79.3,75.6,15.8,98.0,,ACS5 2019-2023
98204,43961,2255,17770,11523,64.85,0.65,41188,,66592,,54.89,24.65,6.55,2881,401.1,4.91,22.08,30.94,20.72,8510,Spanish,7283,Russian/Polish/Slavic,2315,Vietnamese,2015,Other Asian/Pacific Island,1555,Other Indo-European,1083,14.47,8.82,21.73,45.95,9.03,,,,,74.1,72.1,73.1,69.9,12.5,91.6,,ACS5 2019-2023
98208,60616,3153,22025,6956,31.58,0.65,56792,,102546,,60.95,26.12,6.03,3657,240.0,8.97,34.27,26.66,15.21,8663,Spanish,5298,Vietnamese,2522,Other Asian/Pacific Island,2177,Other Indo-European,1855,Russian/Polish/Slavic,1584,17.08,5.18,14.38,54.7,8.66,,,,,75.6,73.8,72.1,67.8,26.2,91.1,,ACS5 2019-2023
98223,46225,1628,16964,3702,21.82,1.02,41756,,96478,,49.0,25.26,5.03,2324,7.4,7.93,20.54,7.38,3.56,1561,Spanish,2299,Tagalog/Filipino,368,Russian/Polish/Slavic,319,French/Haitian/Cajun,243,Other Asian/Pacific Island,243,3.07,0.64,9.74,78.61,7.94,,,,,134.0,132.2,128.2,121.8,85.3,147.1,,ACS5 2019-2023
98224,192,89,95,4,4.21,-0.05,193,,86477,,0.0,0.0,0.0,0,0.0,0.0,29.83,16.15,1.56,3,Other Asian/Pacific Island,10,French/Haitian/Cajun,7,Spanish,0,German/W.Germanic,0,Russian/Polish/Slavic,0,5.21,0.0,7.81,80.73,6.25,,,,,113.1,113.0,97.5,89.5,110.4,106.9,population_2024;renter_households;median_hh_income,ACS5 2019-2023
98241,2412,496,951,236,24.82,0.68,2255,,75039,,58.47,19.49,2.86,69,0.2,11.15,18.38,3.15,0.51,12,Spanish,90,German/W.Germanic,16,Russian/Polish/Slavic,7,French/Haitian/Cajun,0,Other Indo-European,0,0.46,0.0,6.18,83.87,9.49,,,,,190.1,189.1,177.2,168.7,159.1,191.9,population_2024;renter_households,ACS5 2019-2023
98251,4782,600,1868,284,15.2,1.05,4308,,78512,,47.18,24.3,5.88,281,1.7,3.1,16.22,9.35,3.95,178,Spanish,503,French/Haitian/Cajun,33,German/W.Germanic,28,Other Indo-European,25,Chinese (Mandarin/Cantonese),7,0.9,1.02,15.16,71.58,11.33,,,,,120.1,119.4,106.6,98.1,99.3,121.0,renter_households,ACS5 2019-2023
98252,10487,881,4006,650,16.23,2.68,8053,,95235,,44.46,27.08,5.08,533,2.2,6.74,24.9,5.44,2.53,252,Spanish,191,Other Indo-European,124,Russian/Polish/Slavic,85,Chinese (Mandarin/Cantonese),73,Other Asian/Pacific Island,66,4.66,0.28,6.62,82.21,6.24,,,,,126.6,125.4,116.0,108.1,91.3,133.3,renter_households,ACS5 2019-2023
98256,409,173,163,26,15.95,-0.5,430,,91406,,57.69,23.08,2.2,9,0.1,0.0,9.57,6.6,2.5,10,Spanish,10,French/Haitian/Cajun,0,German/W.Germanic,0,Russian/Polish/Slavic,0,Other Indo-European,0,0.0,0.0,0.0,98.53,1.47,,,,,134.1,133.8,118.9,110.6,123.0,129.6,population_2024;renter_households;median_hh_income,ACS5 2019-2023
98258,52005,1237,17655,3853,21.82,1.82,43431,,120571,,50.48,17.39,7.5,3900,105.2,11.2,32.27,9.86,4.5,2163,Spanish,2415,Russian/Polish/Slavic,732,Other Indo-European,613,Other Asian/Pacific Island,556,Tagalog/Filipino,488,6.3,1.82,11.77,73.37,6.74,,,,,100.6,98.8,95.5,89.7,53.3,114.5,,ACS5 2019-2023
98270,53744,1235,19331,5768,29.84,1.19,47744,,102258,,50.19,21.52,5.78,3104,217.7,6.87,22.91,14.1,7.08,3583,Spanish,4472,Russian/Polish/Slavic,1838,Tagalog/Filipino,1017,Other Indo-European,799,Other Asian/Pacific Island,607,7.71,3.18,16.71,64.17,8.23,,,,,101.7,99.8,98.3,93.3,51.3,117.3,,ACS5 2019-2023
98271,30561,1296,11114,2872,25.84,1.19,27149,,97547,,48.15,26.29,6.56,2005,44.3,7.17,22.03,9.07,5.1,1456,Spanish,2246,Russian/Polish/Slavic,362,Tagalog/Filipino,344,Other Indo-European,185,Chinese (Mandarin/Cantonese),170,5.42,1.16,12.89,65.85,14.69,,,,,105.1,103.1,103.8,99.7,52.8,122.6,,ACS5 2019-2023
98272,32055,1511,10054,2028,20.17,1.12,28683,,115894,,41.17,25.0,8.35,2677,25.2,7.4,28.55,12.43,5.77,1695,Spanish,2761,Other Asian/Pacific Island,839,Other Indo-European,574,Korean,235,German/W.Germanic,170,5.74,2.36,13.69,71.62,6.6,,,,,89.6,88.6,77.7,69.5,69.6,94.6,,ACS5 2019-2023
98275,21312,66,8303,2418,29.12,0.47,20331,,122612,,53.6,16.21,5.95,1267,173.6,10.33,54.79,21.49,11.48,2302,Korean,1418,Spanish,1077,Chinese (Mandarin/Cantonese),596,Other Asian/Pacific Island,451,Other Indo-European,377,20.01,1.3,8.21,60.63,9.85,,,,,74.7,72.6,75.5,73.3,12.8,93.6,,ACS5 2019-2023
98288,201,68,99,30,30.3,-1.17,226,,59583,,10.0,10.0,1.99,4,0.0,6.06,33.14,6.47,3.05,6,Spanish,4,Russian/Polish/Slavic,2,French/Haitian/Cajun,0,German/W.Germanic,0,Other Indo-European,0,0.0,1.99,1.99,85.07,10.95,,,,,137.5,137.9,121.6,114.6,141.9,126.3,population_2024;renter_households;median_hh_income,ACS5 2019-2023
98290,39732,1623,14525,2688,18.51,0.91,36303,,129656,,43.75,16.56,5.64,2242,19.1,8.01,38.09,6.75,3.11,1167,Spanish,1745,Other Asian/Pacific Island,409,Russian/Polish/Slavic,330,Chinese (Mandarin/Cantonese),207,Other Indo-European,193,2.68,0.78,7.46,82.39,6.7,,,,,94.4,93.0,86.1,79.1,58.4,104.7,,ACS5 2019-2023
98292,26713,1564,9485,1853,19.54,1.35,23357,,101161,,56.83,40.8,5.06,1353,17.6,4.53,25.45,3.66,1.75,445,Spanish,808,Russian/Polish/Slavic,236,Tagalog/Filipino,98,Other Indo-European,68,Korean,67,1.49,0.16,8.54,82.62,7.2,,,,,126.9,124.8,126.9,123.2,75.1,145.4,renter_households,ACS5 2019-2023
98294,7838,622,2981,379,12.71,1.2,6955,,87981,,42.48,19.53,6.7,525,9.7,8.02,29.97,20.73,11.13,814,Spanish,1106,Other Asian/Pacific Island,300,Vietnamese,52,French/Haitian/Cajun,38,Other Indo-European,24,8.2,1.1,17.29,67.44,5.97,,,,,98.6,97.9,85.1,76.6,83.3,100.0,renter_households,ACS5 2019-2023
98296,27201,1677,9381,923,9.84,0.91,24853,,172468,,36.4,25.46,6.02,1637,47.4,10.66,47.89,12.75,3.76,960,Other Indo-European,839,Russian/Polish/Slavic,640,Spanish,591,Other Asian/Pacific Island,584,Arabic,269,8.36,0.7,5.07,78.64,7.22,,,,,71.1,69.6,63.6,57.6,48.6,82.6,renter_households,ACS5 2019-2023
