zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98043,21417,80,9106,3999,43.92,0.43,20515,,101408,,48.91,18.03,4.6,985,243.2,5.0,41.81,18.32,8.91,1820,Spanish,2426,Other Asian/Pacific Island,512,Other Indo-European,376,Tagalog/Filipino,327,Russian/Polish/Slavic,301,10.41,3.61,17.17,60.56,8.25,,,,,55.6,53.5,57.0,56.3,46.3,74.5,,ACS5 2019-2023
98045,15705,738,5696,865,15.19,1.72,13249,,161897,,51.68,32.83,5.71,896,5.2,10.96,51.88,7.79,3.06,453,Spanish,858,Other Indo-European,151,Tagalog/Filipino,130,Russian/Polish/Slavic,87,Chinese (Mandarin/Cantonese),86,4.17,0.34,10.43,76.29,8.77,,,,,101.0,102.0,86.2,82.0,124.1,84.6,renter_households,ACS5 2019-2023
98047,6900,117,2345,989,42.17,0.48,6580,,102723,,58.75,19.31,5.09,351,164.0,10.83,17.77,23.35,17.94,1175,Spanish,1216,Russian/Polish/Slavic,653,Other Asian/Pacific Island,257,Vietnamese,62,Tagalog/Filipino,59,8.12,6.46,23.65,49.59,12.17,,,,,83.7,85.9,84.0,89.9,134.9,64.9,renter_households;median_hh_income,ACS5 2019-2023
98050,87,107,75,0,0.0,0.0,87,,,,,,0.0,0,0.0,0.0,100.0,0.0,0.0,0,Spanish,0,French/Haitian/Cajun,0,German/W.Germanic,0,Russian/Polish/Slavic,0,Other Indo-European,0,0.0,0.0,0.0,86.21,13.79,,,,,70.2,71.1,55.2,51.4,97.5,56.6,population_2024,ACS5 2019-2023
98051,3555,597,1292,194,15.02,-0.03,3566,,114868,,40.72,18.04,4.5,160,3.0,7.74,30.48,5.15,1.86,63,Spanish,180,Chinese (Mandarin/Cantonese),29,French/Haitian/Cajun,23,Russian/Polish/Slavic,20,Other Indo-European,17,1.58,0.0,9.0,82.33,7.09,,,,,91.8,93.5,81.3,81.5,130.1,70.2,renter_households,ACS5 2019-2023
98052,79074,504,33055,17600,53.24,2.2,63595,,164848,,32.56,16.18,6.34,5014,247.5,10.25,74.83,43.65,12.69,9398,Other Asian/Pacific Island,8096,Chinese (Mandarin/Cantonese),7740,Other Indo-European,7512,Russian/Polish/Slavic,3259,Spanish,3004,38.42,2.07,6.73,47.38,5.41,,,,,51.5,51.0,32.7,17.4,68.3,56.7,,ACS5 2019-2023
98053,22838,1502,8419,1123,13.34,2.2,18367,,179912,,52.0,32.59,6.63,1515,54.8,10.9,72.19,30.45,5.78,1232,Other Indo-European,2758,Other Asian/Pacific Island,1455,Chinese (Mandarin/Cantonese),745,Spanish,574,Arabic,399,27.77,1.09,5.78,58.54,6.83,,,,,61.8,61.7,46.5,32.0,76.0,60.6,renter_households,ACS5 2019-2023
98055,24851,1437,9731,4263,43.81,0.83,22885,,100207,,54.12,18.63,8.01,1991,446.3,7.43,39.03,27.82,16.62,3799,Spanish,2042,Chinese (Mandarin/Cantonese),1249,Vietnamese,1130,Other Asian/Pacific Island,1017,Tagalog/Filipino,566,27.61,9.75,13.27,36.54,12.83,,,,,55.7,57.7,52.5,58.3,104.1,22.7,,ACS5 2019-2023
98056,36872,1790,14713,6622,45.01,0.83,33955,,108596,,53.4,23.23,6.03,2225,294.3,5.41,44.09,30.74,19.69,6821,Spanish,4331,Chinese (Mandarin/Cantonese),2136,Vietnamese,1720,Other Indo-European,1578,Other Asian/Pacific Island,1433,25.86,6.72,14.84,43.45,9.13,,,,,47.7,49.6,39.3,47.6,93.5,11.4,,ACS5 2019-2023
98057,12151,1163,6221,4714,75.78,0.83,11190,,68097,,59.61,31.42,5.34,649,104.7,1.74,33.67,25.1,12.77,1469,Spanish,777,Tagalog/Filipino,499,Vietnamese,390,Chinese (Mandarin/Cantonese),379,Other Indo-European,246,18.67,18.88,13.83,39.5,9.13,,,,,51.1,53.1,48.7,55.0,99.9,13.9,,ACS5 2019-2023
